,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000206538,12754.9344048327,1.35110782542199,0.0990830411116282,9.30500504555235e-44,2.47838040064043e-41
ENSG00000227051,4615.70080486906,-1.13918195639535,0.0835901769650681,1.82607514262944e-43,4.77214303940494e-41
ENSG00000134363,2906.30973919635,-1.78893927013608,0.132390230986722,3.47976317992842e-43,8.9638699514956e-41
ENSG00000109906,385.071327676389,7.27322652350135,0.543827676866861,9.14254824785842e-43,2.32194971838568e-40
ENSG00000149218,2027.18420510953,1.90707847687507,0.142020759537388,1.01070056965034e-42,2.53124342665763e-40
ENSG00000167641,231.672665874094,2.86569385437133,0.214595148120213,1.61831702977367e-42,3.94344495687552e-40
ENSG00000185432,3885.65647195502,2.22675580806551,0.167279128538515,2.14899844374379e-42,5.16676532501173e-40
ENSG00000163378,1805.28792859584,1.24960962139437,0.0931766965561935,4.0611847941607e-42,9.63569529056655e-40
ENSG00000126016,386.412442581616,-2.34911040055106,0.17677579022108,5.6859441717968e-42,1.33154474423169e-39
ENSG00000106484,677.207250627007,-1.844046110568,0.138322339863009,5.98125630156198e-42,1.38274376448418e-39
ENSG00000196975,4908.81788741262,1.17228407350511,0.0880346670199905,1.21224146486195e-41,2.76697950561907e-39
ENSG00000150907,678.867910303335,2.20334291827879,0.166727520940951,1.38814694023499e-41,3.12888320328968e-39
ENSG00000151726,1460.17591174986,1.5864215534481,0.119460255136785,1.49879967308092e-41,3.33658712407347e-39
ENSG00000130513,451.001146431513,-1.84796794207925,0.139324204128887,1.52060264538765e-41,3.34384230507684e-39
ENSG00000221869,1963.57514702786,1.48341002736459,0.112286678696274,3.50772874156746e-41,7.62064634553547e-39
ENSG00000169715,554.197192328851,2.19832486200977,0.168572660631195,1.18167946752591e-40,2.53667192362229e-38
ENSG00000145390,8442.04514236764,2.12379600789227,0.164393355741024,4.00660066312908e-40,8.49964978324043e-38
ENSG00000147027,12593.314252767,1.15313933493361,0.0882941263032709,4.33850256018584e-40,9.09673001921757e-38
ENSG00000185950,1974.87889005049,2.10068341410844,0.16257917140475,4.95643036348106e-40,1.02729140591139e-37
ENSG00000013293,244.49400651336,-2.85008079376483,0.220132713279373,5.85203663859046e-40,1.19913550758026e-37
ENSG00000131831,1017.17356476016,1.41459199147322,0.10940772275475,2.7458434839546e-39,5.56326401153589e-37
ENSG00000137672,655.448854141464,1.93276082086058,0.151451587031959,8.41675351846366e-39,1.68634332716596e-36
ENSG00000146122,1942.42555424956,1.6648880187591,0.130465036749505,1.11214655228151e-38,2.20376116821321e-36
