,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000000003,708.597861536998,-0.364083770282417,0.100079453290382,0.000153286080966576,0.00128920457648754
ENSG00000000419,520.296296925274,0.186433579517747,0.108116453638002,0.0650354310922585,0.194929521562065
ENSG00000000457,237.162103834464,0.0310728979774158,0.130050612315379,0.79043660368934,0.909899502487805
ENSG00000000460,57.9323803212894,-0.0471495755165635,0.212368784013185,0.756023886827026,0.892993575600334
ENSG00000000971,5817.31081674539,0.402526391889555,0.0886677050026512,1.57265558148895e-06,2.06391014886527e-05
ENSG00000001036,1282.10068817841,-0.227966594210817,0.0873527495208676,0.00675808791587899,0.0334601431354009
ENSG00000001084,609.888711231609,-0.0362292554642212,0.148021297350217,0.775191095052822,0.902579313359107
ENSG00000001167,369.340563608024,-0.467760018651194,0.120857900798861,3.32934600620736e-05,0.000329680215178095
ENSG00000001460,183.236892721017,-0.0941294221217885,0.158130205136473,0.488908832559051,0.720497226929128
ENSG00000001461,2813.83742255416,-0.0356483208598857,0.0980041169577364,0.690270796549049,0.856933769595349
ENSG00000001497,539.821574730881,-0.00378805523751671,0.100890534541514,0.969916898152979,0.988355229518818
ENSG00000001561,114.037077799749,0.157299967751633,0.187071803804491,0.295543739127775,0.543744995811861
ENSG00000001617,598.664307018364,-0.230809751885561,0.105452535128139,0.0208008715244758,0.0819640769730717
ENSG00000001626,5.76493538185727,-0.1613308543425,0.34263764599594,0.166443488551013,0.379922193057665
ENSG00000001629,1779.81786317606,-0.213756419679407,0.0796846562700646,0.00513083479524307,0.026724209424559
ENSG00000001630,54.727467682366,0.00640723863001351,0.221135162966723,0.967495828751084,0.987093175514289
ENSG00000001631,785.449616737739,-0.0327675864933103,0.0982418022551226,0.722708956564958,0.875210739071815
ENSG00000002016,183.859639860491,-0.257800316336533,0.15224616812981,0.0509930497156769,0.162715744553723
ENSG00000002079,1.42772730704924,-0.0400522501916121,0.312223266989668,0.277963278121713,NA
ENSG00000002330,178.056083595009,0.0720537069855371,0.139314469758854,0.563771403293542,0.77529901455408
